City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
102,kavieng,-2.5744,150.7967,27.64,27.64,100,4.11,PG,1675829740
103,dicabisagan,17.0818,122.4157,24.87,24.87,95,4.28,PH,1675829864
104,flinders,-34.5833,150.8552,21.77,19.03,100,1.79,AU,1675829789
105,mahebourg,-20.4081,57.7,27.16,26.81,40,5.14,MU,1675829723
106,cherskiy,68.75,161.3,-32.86,-32.86,100,2.49,RU,1675829798
107,atar,20.5169,-13.0499,14.64,14.64,14,4.92,MR,1675830032
108,samarai,-10.6167,150.6667,27.94,27.94,100,7.35,PG,1675829870
109,karakol,42.4907,78.3936,-4.84,-4.84,53,0.87,KG,1675830088
110,daru,-9.0763,143.2092,29.71,29.71,99,4.33,PG,1675830022
111,hearst,49.6835,-83.6665,-12.86,-12.86,94,1.74,CA,1675830089
112,muroto,33.2833,134.15,13.34,13.34,7,2.94,JP,1675829990
113,ranot,7.7777,100.3213,27.61,27.61,44,4.06,TH,1675830089
114,mopti,14.6667,-4.0,24.59,24.59,50,4.09,ML,1675830090
115,kapaa,22.0752,-159.319,25.99,22.33,75,7.2,US,1675829733
116,puerto boyaca,5.9758,-74.5885,23.42,23.42,68,0.64,CO,1675830091
117,caravelas,-17.7125,-39.2481,24.59,24.59,28,2.86,BR,1675829897
118,atuona,-9.8,-139.0333,26.13,26.13,22,7.43,PF,1675829576
119,raudeberg,61.9875,5.1352,7.2,6.04,92,15.67,NO,1675830092
120,coihaique,-45.5752,-72.0662,16.34,15.97,0,1.54,CL,1675829559
121,sorland,67.667,12.6934,6.92,6.92,100,22.62,NO,1675829826
122,carauari,-4.8828,-66.8958,22.85,22.85,96,0.71,BR,1675830030
123,starosubkhangulovo,53.1031,57.4423,-21.14,-21.14,96,0.83,RU,1675829979
124,russell,32.3502,-85.1999,16.57,8.53,0,0.0,US,1675829613
125,rawson,-43.3002,-65.1023,18.26,18.26,1,2.11,AR,1675829699
126,klaksvik,62.2266,-6.589,7.74,7.74,100,25.55,FO,1675829794
127,nhulunbuy,-12.2333,136.7667,29.34,29.34,40,3.6,AU,1675830094
128,mweka,-4.85,21.5667,19.68,19.68,100,0.56,CD,1675830094
129,thompson,55.7435,-97.8558,-17.93,-17.93,96,1.14,CA,1675829726
130,laguna,38.421,-121.4238,10.65,7.05,0,0.0,US,1675830095
131,mecca,21.4267,39.8261,16.08,16.08,52,5.1,SA,1675829926
132,nauen,52.607,12.8737,-1.65,-5.02,93,2.52,DE,1675829503
133,tessalit,20.1986,1.0114,19.27,19.27,54,4.03,ML,1675829813
134,kousseri,12.0769,15.0306,19.98,19.98,100,3.6,CM,1675830096
135,tromso,69.6496,18.957,5.01,4.1,100,12.35,NO,1675830097
136,katsuura,35.1333,140.3,10.21,10.21,97,8.39,JP,1675829854
137,east chicago,41.6392,-87.4548,1.77,-1.13,0,2.57,US,1675830098
138,chuy,-33.6971,-53.4616,20.37,20.37,14,2.78,UY,1675829476
139,shache,38.4167,77.2406,0.03,0.03,0,1.38,CN,1675830098
